GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1292362623,20260304,202603,2026,2026.1753,MOS,ISLAMIC,,,,MOS,,,,,PSE,PALESTINIAN,PSE,,,,,,,,0,194,194,19,4,-10.0,1,1,1,-6.76982591876209,4,"Tel Hashomer, HaMerkaz, Israel",IS,IS02,18316,32.0539,34.8481,-781581,4,"Tel Hashomer, HaMerkaz, Israel",IS,IS02,18316,32.0539,34.8481,-781581,4,"Tel Hashomer, HaMerkaz, Israel",IS,IS02,18316,32.0539,34.8481,-781581,20260304154500,https://www.islamicinvitationturkey.com/watch-hezbollah-strikes-deep-despite-brutal-zionist-attacks/
1292362625,20260304,202603,2026,2026.1753,MOS,ISLAMIC,,,,MOS,,,,,UAF,FIGHTER,,,,,,UAF,,,1,194,194,19,4,-10.0,5,1,5,-6.76982591876209,4,"Metula, Ha?afon, Israel",IS,IS03,18314,33.2792,35.5795,-780681,4,"Metula, Ha?afon, Israel",IS,IS03,18314,33.2792,35.5795,-780681,4,"Metula, Ha?afon, Israel",IS,IS03,18314,33.2792,35.5795,-780681,20260304154500,https://www.islamicinvitationturkey.com/watch-hezbollah-strikes-deep-despite-brutal-zionist-attacks/
1292362630,20260304,202603,2026,2026.1753,MOSSHICVL,SHIA,,,,MOS,SHI,CVL,,,IRN,IRAN,IRN,,,,,,,,1,141,141,14,3,-6.5,7,1,6,-9.12162162162166,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://news.webindia123.com/news/Articles/India/20260304/4423467.html
1292362631,20260304,202603,2026,2026.1753,MOSSHICVL,SHIA,,,,MOS,SHI,CVL,,,IRN,IRAN,IRN,,,,,,,,1,141,141,14,3,-6.5,4,1,4,-9.12162162162166,1,Israel,IS,IS,,31.5,34.75,IS,1,Iran,IR,IR,,32.0,53.0,IR,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://news.webindia123.com/news/Articles/India/20260304/4423467.html
1292362632,20260304,202603,2026,2026.1753,MOSSHICVL,SHIA,,,,MOS,SHI,CVL,,,IRN,IRAN,IRN,,,,,,,,1,141,141,14,3,-6.5,4,1,4,-9.12162162162166,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://news.webindia123.com/news/Articles/India/20260304/4423467.html
1292362633,20260304,202603,2026,2026.1753,MOSSHICVL,SHIA,,,,MOS,SHI,CVL,,,ISRMIL,ISRAEL,ISR,,,,,MIL,,,1,143,143,14,3,-6.5,10,1,10,-9.12162162162166,1,Iran,IR,IR,,32.0,53.0,IR,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20260304154500,https://news.webindia123.com/news/Articles/India/20260304/4423467.html
1292362641,20260304,202603,2026,2026.1753,MYS,MALAYSIAN,MYS,,,,,,,,,,,,,,,,,,0,70,70,7,2,7.0,5,1,5,-0.55762081784386,1,Iran,IR,IR,,32.0,53.0,IR,0,,,,,,,,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.thestar.com.my/news/nation/2026/03/04/no-malaysians-reported-affected-following-security-developments-in-uae-says-envoy
1292362645,20260304,202603,2026,2026.1753,NGA,NIGERIAN,NGA,,,,,,,,,,,,,,,,,,1,12,12,1,1,-0.4,2,1,2,-1.19047619047619,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,0,,,,,,,,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.nationalaccordnewspaper.com/u-s-embassy-warns-of-possible-iran-linked-protests-in-abuja-urges-citizens-to-stay-indoors/
1292362654,20260304,202603,2026,2026.1753,NGA,NIGERIAN,NGA,,,,,,,,NGACOP,NIGERIA,NGA,,,,,COP,,,1,12,12,1,1,-0.4,2,1,2,-1.19047619047619,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.nationalaccordnewspaper.com/u-s-embassy-warns-of-possible-iran-linked-protests-in-abuja-urges-citizens-to-stay-indoors/
1292362660,20260304,202603,2026,2026.1753,NGACOP,NIGERIAN,NGA,,,,,COP,,,,,,,,,,,,,1,12,12,1,1,-0.4,6,1,6,-1.19047619047619,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,0,,,,,,,,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://www.nationalaccordnewspaper.com/u-s-embassy-warns-of-possible-iran-linked-protests-in-abuja-urges-citizens-to-stay-indoors/
1292362683,20260304,202603,2026,2026.1753,OMN,MUSCAT,OMN,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,42,42,4,1,1.9,10,1,10,-5.0,4,"Fujairah, Al Fujayrah, United Arab Emirates",AE,AE04,149629,25.1164,56.3414,-782158,4,"Fujairah, Al Fujayrah, United Arab Emirates",AE,AE04,149629,25.1164,56.3414,-782158,4,"Fujairah, Al Fujayrah, United Arab Emirates",AE,AE04,149629,25.1164,56.3414,-782158,20260304154500,https://oilprice.com/Latest-Energy-News/World-News/Iran-Claims-It-Has-Complete-Control-Over-Strait-of-Hormuz.html
1292362687,20260304,202603,2026,2026.1753,OPP,PROTESTER,,,,,,OPP,,,,,,,,,,,,,0,111,111,11,3,-2.0,5,1,5,-9.12162162162166,1,Iran,IR,IR,,32.0,53.0,IR,0,,,,,,,,1,Iran,IR,IR,,32.0,53.0,IR,20260304154500,https://news.webindia123.com/news/Articles/India/20260304/4423467.html
1292362688,20260304,202603,2026,2026.1753,OPP,ACTIVIST,,,,,,OPP,,,ELI,ACTOR,,,,,,ELI,,,0,30,30,3,1,4.0,8,1,8,5.4054054054054,1,Jordan,JO,JO,,31.0,36.0,JO,1,Jordan,JO,JO,,31.0,36.0,JO,1,Jordan,JO,JO,,31.0,36.0,JO,20260304154500,https://www.billboard.com/music/awards/sankofa-org-social-justice-awards-2026-honorees-chuck-d-1236191219/
